C,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,species1,species1count,species2,species2count,Flag,Water,OHV,Outreach,CamSetup,Note
06280130.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:17:44,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280131.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:19:34,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280132.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:20:50,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280133.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:21:30,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280134.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:30:45,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280135.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:36:59,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280136.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:41:12,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280137.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:59:02,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280138.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,11:01:19,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280139.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,11:11:09,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280140.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,11:28:24,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280141.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,11:30:09,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280142.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,11:31:04,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280143.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,11:34:03,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280144.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,11:39:27,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280145.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,11:40:12,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
